year,month,variable,value,isin
2015,3,logReturn,-0.00872577089945815,US1667641005
2015,2,logReturn,0.0154350423937991,US1667641005
2015,1,logReturn,-0.093509064208723,US1667641005
2014,12,logReturn,0.00401988379525475,US1667641005
2014,11,logReturn,-0.0609796562746157,US1667641005
2014,10,logReturn,0.0193610372861771,US1667641005
2014,9,logReturn,-0.0666209022936306,US1667641005
2014,8,logReturn,0.020495756853819,US1667641005
2014,7,logReturn,-0.0100085153567184,US1667641005
2014,6,logReturn,0.066015209780168,US1667641005
2014,5,logReturn,-0.00875227896069714,US1667641005
2014,4,logReturn,0.0533413518948336,US1667641005
2014,3,logReturn,0.0348273657578917,US1667641005
2014,2,logReturn,0.0458934281585349,US1667641005
2014,1,logReturn,-0.10621995514839,US1667641005
2013,12,logReturn,0.02078906186861,US1667641005
2013,11,logReturn,0.0451811774417018,US1667641005
2013,10,logReturn,-0.0112730217262055,US1667641005
2013,9,logReturn,0.0078499552545953,US1667641005
2013,8,logReturn,-0.0404172146131925,US1667641005
2013,7,logReturn,0.0556131999974034,US1667641005
2013,6,logReturn,-0.0474448779128637,US1667641005
2013,5,logReturn,0.0285063615773584,US1667641005
2013,4,logReturn,0.019867055215883,US1667641005
2013,3,logReturn,0.0162902327098629,US1667641005
2013,2,logReturn,0.0133240615686228,US1667641005
2013,1,logReturn,0.0422158169925607,US1667641005
2012,12,logReturn,0.0327100349639706,US1667641005
2012,11,logReturn,-0.0444141083835467,US1667641005
2012,10,logReturn,-0.0616426851026178,US1667641005
2012,9,logReturn,0.0468961741101361,US1667641005
2012,8,logReturn,0.0228745238890814,US1667641005
2012,7,logReturn,0.0345372636610161,US1667641005
2012,6,logReturn,0.0901010713007684,US1667641005
2012,5,logReturn,-0.0875508948562486,US1667641005
2012,4,logReturn,-0.0161964869458008,US1667641005
2012,3,logReturn,-0.0235057355007461,US1667641005
2012,2,logReturn,0.0674446938475214,US1667641005
2012,1,logReturn,-0.0679450782182966,US1667641005
2011,12,logReturn,0.043901310584476,US1667641005
2011,11,logReturn,0.0152065658164161,US1667641005
2011,10,logReturn,0.155961018842584,US1667641005
2011,9,logReturn,-0.0620792155968031,US1667641005
2011,8,logReturn,-0.0561157996955927,US1667641005
2011,7,logReturn,-0.000673196954435743,US1667641005
2011,6,logReturn,0.00341028410707394,US1667641005
2011,5,logReturn,-0.0229543360690846,US1667641005
2011,4,logReturn,0.0102876831538137,US1667641005
2011,3,logReturn,0.0436406059834261,US1667641005
2011,2,logReturn,0.0827452115811151,US1667641005
2011,1,logReturn,0.0320023432855816,US1667641005
2010,12,logReturn,0.0983833551366445,US1667641005
2010,11,logReturn,0.00278193618563357,US1667641005
2010,10,logReturn,0.00789974521083689,US1667641005
2010,9,logReturn,0.0542524205342998,US1667641005
2010,8,logReturn,-0.039780153688303,US1667641005
2010,7,logReturn,0.121663006891391,US1667641005
2010,6,logReturn,-0.0632390852452109,US1667641005
2010,5,logReturn,-0.105263781784293,US1667641005
2010,4,logReturn,0.0600942141817526,US1667641005
2010,3,logReturn,0.0406401987702112,US1667641005
2010,2,logReturn,-0.00801740856323209,US1667641005
2010,1,logReturn,-0.0918767770014873,US1667641005
2009,12,logReturn,-0.0265324757937176,US1667641005
2009,11,logReturn,0.0267166676668137,US1667641005
2009,10,logReturn,0.106464599716794,US1667641005
2009,9,logReturn,0.0280759687956506,US1667641005
2009,8,logReturn,0.00360473676191944,US1667641005
2009,7,logReturn,0.0433920844449587,US1667641005
2009,6,logReturn,-0.0437095505982395,US1667641005
2009,5,logReturn,0.00682208926407642,US1667641005
2009,4,logReturn,-0.0327418825065251,US1667641005
2009,3,logReturn,0.154399482246648,US1667641005
2009,2,logReturn,-0.13725960009416,US1667641005
2009,1,logReturn,-0.0816556498404958,US1667641005
2017,12,logVola,-3.23336299236874,US1667641005
2017,11,logVola,-3.46804627338998,US1667641005
2017,10,logVola,-2.90856754968865,US1667641005
2017,9,logVola,-3.39698016145342,US1667641005
2017,8,logVola,-3.62377380238509,US1667641005
2017,7,logVola,-3.22754602784773,US1667641005
2017,6,logVola,-3.04262081665222,US1667641005
2017,5,logVola,-3.14744022899185,US1667641005
2017,4,logVola,-3.15349272848527,US1667641005
2017,3,logVola,-3.19405115291013,US1667641005
2017,2,logVola,-3.12114232323236,US1667641005
2017,1,logVola,-3.30388973737845,US1667641005
2016,12,logVola,-3.51638164643273,US1667641005
2016,11,logVola,-3.12232993052702,US1667641005
2016,10,logVola,-2.91121441262105,US1667641005
2016,9,logVola,-2.66637493096749,US1667641005
