,target_logReturn,isUpperQuart,isLowerQuart
0,0.179347410467567,1,0
3,0.154399482246648,0,0
6,0.0868548063773481,0,1
10,0.0928237800203431,0,1
12,0.199636365812173,1,0
13,0.11226307747043598,0,0
17,0.23203278353239398,1,0
24,0.18156124068773702,1,0
27,0.148360333931975,0,0
29,0.0479767419755749,0,1
32,-0.0129024216421311,0,0
39,0.128583149410004,0,0
41,0.10709014584550802,0,0
43,0.0486989743281738,0,0
44,-0.0411865758809962,0,1
45,0.14642904417784197,1,0
46,-0.0359387593327326,0,1
48,0.21759150065053898,1,0
49,-0.0240158138121387,0,1
50,0.15281535264007698,1,0
52,0.161086880369092,1,0
56,0.0557855900411639,0,0
57,0.0340267246448127,0,0
61,0.0480261308804131,0,0
62,-0.106782203690305,0,1
63,0.0565831915619252,0,0
67,0.0751508239157268,0,0
71,-0.0431428141491248,0,1
74,0.0029186635839791803,0,0
76,0.0651773311342717,0,0
78,-0.0567322254964523,0,1
81,0.1314959377812,1,0
85,0.123480048558574,1,0
89,0.126614216879468,1,0
90,0.0988657244640726,1,0
91,0.0255573865208711,0,0
93,-0.0129881141233854,0,0
95,-0.115428283694402,0,1
98,-0.130594042840437,0,1
106,-0.0128313713070012,0,0
108,-0.031964476469452004,0,0
114,-0.0569807478985857,0,0
115,-0.10411993398417299,0,1
128,0.0738511684918012,0,0
130,0.0307419214582591,0,1
132,0.149294087612901,1,0
133,0.0556853490817064,0,0
134,0.0410361318687685,0,1
136,0.121952321608185,1,0
137,0.013327950563823,0,1
138,0.13448351766941802,1,0
140,0.15763972136545099,1,0
141,0.29552591010742196,1,0
144,0.0566470956256502,0,0
145,0.134972425959873,1,0
147,0.0668428337138346,0,0
148,0.109090194475039,0,0
151,0.0675389370668031,0,0
152,0.0687929446633851,0,0
154,-0.0218707112618318,0,1
166,-0.0741607569939282,0,1
174,0.0103919437769162,0,0
175,0.0903713358709037,1,0
184,-0.0153129176947436,0,1
189,0.0280759687956506,0,0
202,0.106115874072435,1,0
