,logReturn_d2,logVola_d2,logReturn_d1,logVola_d1,logReturnSum,logVolaSum,logReturnDelta,logVolaDelta
1,-0.0500379825006182,-3.0398940350596297,-0.13467747855926,-2.53523962254023,-0.18471546105987818,-5.57513365759986,0.0846394960586418,-0.5046544125193999
2,-0.0671793995928477,-2.01423047915195,-0.250644827454535,-2.00739398835745,-0.31782422704738267,-4.0216244675094,0.1834654278616873,-0.006836490794499994
4,-0.0796216296270709,-1.56121873793244,0.128438404035933,-1.9572386594553899,0.04881677440886212,-3.51845739738783,-0.2080600336630039,0.39601992152294985
5,-0.15922353476513001,-2.05892495407001,-0.0674964129354716,-2.02385407690617,-0.2267199477006016,-4.08277903097618,-0.09172712182965842,-0.03507087716383994
7,0.0521749309796457,-1.87224652507362,-0.00760440721858782,-1.9719273945452902,0.04457052376105788,-3.8441739196189104,0.05977933819823352,0.09968086947167021
8,-0.0956647608659547,-2.3275852631799503,-0.0967533352794431,-2.1226843471934096,-0.1924180961453978,-4.450269610373359,0.0010885744134884051,-0.2049009159865407
9,-0.13383669107788498,-2.20306827682231,-0.0697171279766478,-2.2346252606367405,-0.2035538190545328,-4.437693537459051,-0.06411956310123719,0.031556983814430506
11,0.0788533438429064,-1.40717590861496,0.0578214083286848,-1.86347862384402,0.1366747521715912,-3.27065453245898,0.021031935514221604,0.45630271522905996
14,-0.00685601186828969,-1.92052566275134,-0.0243327384647594,-2.02235248697531,-0.03118875033304909,-3.94287814972665,0.017476726596469712,0.10182682422396994
15,-0.0941801359298958,-2.46366721805637,-0.0931444340718941,-2.69018859215565,-0.1873245700017899,-5.15385581021202,-0.0010357018580016975,0.22652137409927997
16,-0.12480738406657199,-1.84670695741945,-0.049541729201432995,-2.03647990392367,-0.17434911326800498,-3.8831868613431197,-0.075265654865139,0.18977294650422016
18,-0.156807441790387,-1.8003254227764898,-0.0704852599964015,-2.0150433754229002,-0.2272927017867885,-3.81536879819939,-0.0863221817939855,0.21471795264641047
19,-0.0720363261690734,-1.04785640165519,0.0915555864825404,-1.3147359390851299,0.019519260313467,-2.3625923407403198,-0.16359191265161382,0.26687953742994
20,0.0702704102102107,-2.37863727232025,-0.12007821729465598,-2.2644433262961,-0.04980780708444528,-4.64308059861635,0.1903486275048667,-0.1141939460241499
21,-0.20614734582935698,-0.879241287947556,-0.0974942167277859,-1.26391751904437,-0.30364156255714286,-2.1431588069919263,-0.10865312910157109,0.38467623109681415
22,-0.135497314374009,-1.4364405926855701,-0.34214020293888203,-1.31089495697904,-0.47763751731289106,-2.7473355496646104,0.20664288856487303,-0.1255456357065301
23,-0.225606737139638,-2.04595852100409,-0.168556164336631,-2.25799076811139,-0.394162901476269,-4.303949289115479,-0.05705057280300699,0.21203224710730018
