year,month,variable,value,isin
2010,4,logReturn,0.055891662135717966,US88579Y1010
2010,3,logReturn,0.036434171254902795,US88579Y1010
2010,2,logReturn,0.0029183749200749664,US88579Y1010
2010,1,logReturn,-0.03094781919967896,US88579Y1010
2009,12,logReturn,0.05010295229767665,US88579Y1010
2009,11,logReturn,0.04819642729261553,US88579Y1010
2009,10,logReturn,0.013962547598425922,US88579Y1010
2009,9,logReturn,0.05115036169431254,US88579Y1010
2009,8,logReturn,0.0066242840058706315,US88579Y1010
2009,7,logReturn,0.14929408761290106,US88579Y1010
2009,6,logReturn,0.01356981906042539,US88579Y1010
2009,5,logReturn,-0.004842976747612405,US88579Y1010
2009,4,logReturn,0.1285831494100042,US88579Y1010
2009,3,logReturn,0.1489347868206207,US88579Y1010
2009,2,logReturn,-0.09675333527944306,US88579Y1010
2009,1,logReturn,-0.09566476086595468,US88579Y1010
2008,12,logReturn,-0.08028484958501253,US88579Y1010
2008,11,logReturn,0.051517819320702984,US88579Y1010
2008,10,logReturn,-0.04693745177973581,US88579Y1010
2018,9,vola,0.0464833264371292,US88579Y1010
2018,8,vola,0.03677085945045597,US88579Y1010
2018,7,vola,0.05579812465297808,US88579Y1010
2018,6,vola,0.0392953339100084,US88579Y1010
2018,5,vola,0.04636023899648448,US88579Y1010
2018,4,vola,0.08887530898272909,US88579Y1010
2018,3,vola,0.0830689741181158,US88579Y1010
2018,2,vola,0.10187618008759296,US88579Y1010
2018,1,vola,0.046870074250522115,US88579Y1010
2017,12,vola,0.026813719903745994,US88579Y1010
2017,11,vola,0.036198653255189006,US88579Y1010
2017,10,vola,0.06724261060437196,US88579Y1010
2017,9,vola,0.03592023943135097,US88579Y1010
2017,8,vola,0.026341861780454258,US88579Y1010
2017,7,vola,0.059142922492362825,US88579Y1010
2017,6,vola,0.028906194635529344,US88579Y1010
2017,5,vola,0.028739721513364305,US88579Y1010
2017,4,vola,0.02243728401143564,US88579Y1010
2017,3,vola,0.019085538103264747,US88579Y1010
2017,2,vola,0.024236974956814945,US88579Y1010
2017,1,vola,0.02526653090955112,US88579Y1010
2016,12,vola,0.03573036297837675,US88579Y1010
2016,11,vola,0.04009140332326152,US88579Y1010
2016,10,vola,0.03892739498140928,US88579Y1010
2016,9,vola,0.04489649866142479,US88579Y1010
2016,8,vola,0.021341037482472663,US88579Y1010
2016,7,vola,0.02485747806618156,US88579Y1010
2016,6,vola,0.05329395125925469,US88579Y1010
2016,5,vola,0.03285725796102452,US88579Y1010
2016,4,vola,0.02458235188730423,US88579Y1010
2016,3,vola,0.02758725764146192,US88579Y1010
2016,2,vola,0.0497508401959233,US88579Y1010
2016,1,vola,0.08446438867166635,US88579Y1010
2015,12,vola,0.08087340553184381,US88579Y1010
2015,11,vola,0.03671399059139573,US88579Y1010
2015,10,vola,0.05092755577012004,US88579Y1010
2015,9,vola,0.06303821773516387,US88579Y1010
2015,8,vola,0.0626130095086969,US88579Y1010
2015,7,vola,0.050781534504875145,US88579Y1010
2015,6,vola,0.04427090195447666,US88579Y1010
2015,5,vola,0.0315118680105419,US88579Y1010
2015,4,vola,0.051284530785285755,US88579Y1010
2015,3,vola,0.05930779804189416,US88579Y1010
2015,2,vola,0.025342089764639354,US88579Y1010
2015,1,vola,0.05876487849239385,US88579Y1010
2014,12,vola,0.04788884261210395,US88579Y1010
2014,11,vola,0.025440182416671737,US88579Y1010
2014,10,vola,0.07992819435629295,US88579Y1010
2014,9,vola,0.026372902887013744,US88579Y1010
2014,8,vola,0.025762261335824307,US88579Y1010
2014,7,vola,0.03437102674470249,US88579Y1010
2014,6,vola,0.02326033197486891,US88579Y1010
2014,5,vola,0.029090887303086378,US88579Y1010
2014,4,vola,0.039018407298623735,US88579Y1010
2014,3,vola,0.03976226816167997,US88579Y1010
2014,2,vola,0.03587282517550848,US88579Y1010
2014,1,vola,0.04959596657699836,US88579Y1010
2013,12,vola,0.04890195130066643,US88579Y1010
2013,11,vola,0.022176482615051743,US88579Y1010
2013,10,vola,0.035477237521982806,US88579Y1010
2013,9,vola,0.03302368340291597,US88579Y1010
2013,8,vola,0.02969157782378975,US88579Y1010
2013,7,vola,0.026217828512517152,US88579Y1010
2013,6,vola,0.058347242165750296,US88579Y1010
2013,5,vola,0.032652040878743384,US88579Y1010
2013,4,vola,0.047108467273776294,US88579Y1010
2013,3,vola,0.035762024848508364,US88579Y1010
2013,2,vola,0.03670552724168727,US88579Y1010
